32,9,15
184,1,30
137,2,18
468,3,47
298,1,1
308,3,21
129,1,46
465,4,4
31,8,43
220,8,20
255,8,30
352,1,18
286,3,19
272,4,41
418,4,39
247,2,35
457,4,7
258,7,36
352,2,41
484,4,27
244,4,36
98,7,28
58,6,41
95,8,33
207,8,42
62,6,9
262,4,43
228,5,14
62,9,27
21,6,43
140,5,49
497,5,17
444,4,34
9,2,19
354,8,34
309,5,12
185,6,29
223,6,26
423,8,29
334,3,21
285,2,18
420,2,31
297,4,30
287,1,26
223,2,9
11,1,33
230,9,31
185,3,38
283,6,32
7,2,12
422,5,29
313,3,4
469,7,14
170,6,39
147,2,1
105,4,16
292,8,41
69,7,34
139,1,41
265,5,14
225,4,13
368,7,15
74,1,30
327,7,7
334,9,22
317,7,29
214,1,9
193,6,26
108,2,9
497,9,5
