1,6.73,42
2,13.24,12
3,14.03,31
4,12.71,23
5,3.62,4
6,4.07,37
7,18.68,37
8,16.27,42
9,5.12,23
10,9.56,24
11,11.29,34
12,11.65,34
13,17.21,45
14,11.92,15
15,11.39,9
16,7.8,33
17,3.78,10
18,18.63,34
19,11.41,1
20,5.19,21
21,13.91,48
22,6.69,35
23,2.86,40
24,7.25,33
25,6.82,14
26,0.04,33
27,13.25,42
28,17.67,37
29,11.62,35
30,8.15,36
31,11.16,43
32,17.09,34
33,15.91,34
34,4.11,14
35,14.87,10
36,10.1,24
37,12.6,2
38,3.19,40
39,11.28,12
40,19.49,33
41,8.93,25
42,16.16,13
43,9.37,48
44,8.18,33
45,8.85,46
46,17.77,31
47,3.32,42
48,9.68,3
49,2.51,42
50,7.57,26
