496,13,28
175,24,29
172,43,12
183,16,2
99,16,17
409,26,32
344,45,31
245,36,5
247,17,2
217,48,41
67,9,6
415,29,6
326,16,41
130,10,45
113,19,36
341,49,9
86,17,8
469,2,7
59,21,31
347,14,25
231,4,3
488,12,33
109,36,26
490,4,30
73,36,39
493,23,7
151,25,5
438,47,37
90,10,6
448,36,20
267,31,10
279,49,29
216,31,34
44,31,39
86,25,14
440,19,22
178,9,26
296,18,20
436,11,46
440,10,17
500,33,1
168,35,27
253,46,10
305,19,8
475,17,22
339,45,4
289,32,25
286,39,5
54,38,17
349,7,41
227,30,5
462,43,7
43,41,47
264,16,2
106,21,8
86,38,35
187,10,32
16,46,29
213,8,18
463,29,39
252,36,48
14,12,17
23,21,41
284,32,19
406,24,28
76,16,22
200,44,46
112,30,37
11,15,15
254,45,15
