172,28,45
26,29,33
306,12,21
27,2,15
220,17,36
51,32,36
426,31,1
131,5,38
20,2,49
141,41,32
27,6,48
164,6,25
379,41,5
278,45,28
442,36,29
65,9,17
368,8,17
393,7,33
457,31,9
400,25,26
459,3,19
105,33,41
164,26,15
326,30,23
294,39,20
52,7,23
399,5,29
398,37,44
32,6,40
123,20,18
336,10,26
255,29,36
262,34,5
75,39,25
401,14,4
495,22,18
20,26,2
468,20,6
261,46,14
412,17,49
118,1,18
93,27,31
181,10,19
147,8,40
399,22,40
146,4,28
233,25,29
87,5,18
58,17,41
67,41,24
93,5,20
194,7,12
267,47,27
405,2,9
231,8,7
193,35,43
191,32,18
479,29,22
263,18,38
109,39,4
74,48,15
1,17,19
13,41,14
256,19,34
221,28,2
352,22,1
328,46,41
186,37,35
143,15,24
64,15,27
